Wage,Age,Club,League,Nation,Position,Apps,Caps,Wage by Apps
2418000,29,Capitoline,Serie A,ESP,Defender,273,10,8857
2397000,29,Juventus,Serie A,ITA,Goalkeeper,269,2,8910
2397000,29,Juventus,Serie A,ITA,Defender,206,39,11635
2397000,28,Inter,Serie A,ITA,Midfilder,201,7,11925
2397000,30,Torino,Serie A,SUI,Defender,336,98,7133
2397000,25,Atalanta,Serie A,CIV,Forward,202,10,11866
2397000,28,Lazio,Serie A,ITA,Defender,383,2,6258
2397000,33,Fiorentina,Serie A,ITA,Midfilder,376,14,6375
2397000,25,Parthenope,Serie A,ITA,Goalkeeper,112,2,21401
2392000,26,PSG,Ligue 1 Uber Eats,ESP,Midfilder,206,15,11611
2392000,26,Torino,Serie A,RUS,Midfilder,218,41,10972
2392000,27,Empoli,Serie A,CRO,Forward,218,24,10972
2392000,27,Parthenope,Serie A,ARG,Forward,277,5,8635
2381000,33,Villarreal,La Liga,ESP,Midfilder,478,4,4981
2376000,28,OM,Ligue 1 Uber Eats,COD,Defender,212,66,11207
2364000,31,Borussia M'gladbach,Bundesliga,GER,Midfilder,321,12,7364
2364000,22,Hoffenheim,Bundesliga,TUR,Defender,93,17,25419
2340000,26,Brentford,Premier League,ENG,Forward,305,0,7672
2340000,25,Leeds,Premier League,DEN,Defender,162,8,14444
2340000,26,Aston Villa,Premier League,ENG,Forward,298,7,7852
2340000,32,Newcastle,Premier League,SCO,Defender,469,16,4989
2340000,28,Brighton,Premier League,ENG,Defender,224,0,10446
2340000,27,Bournemouth,Premier League,COL,Midfilder,319,33,7335
2340000,30,Newcastle,Premier League,SUI,Defender,276,71,8478
2340000,33,Newcastle,Premier League,SVK,Goalkeeper,331,29,7069
2340000,19,Man City,Premier League,ARG,Midfilder,22,0,106363
2340000,22,Rennes,Ligue 1 Uber Eats,ENG,Defender,107,0,21869
2340000,30,Nottm Forest,Premier League,SUI,Midfilder,375,46,6240
2340000,28,Bournemouth,Premier League,ENG,Defender,193,0,12124
2340000,21,Brighton,Premier League,GHA,Defender,56,0,41785
2340000,22,Crystal Palace,Premier League,MLI,Midfilder,122,8,19180
2340000,26,Brentford,Premier League,DEN,Midfilder,191,19,12251
2340000,22,Crystal Palace,Premier League,ENG,Defender,92,3,25434
2340000,30,Girona,La Liga,ESP,Midfilder,326,0,7177
2340000,24,Nottm Forest,Premier League,BEL,Midfilder,131,2,17862
2340000,22,Bournemouth,Premier League,GHA,Forward,124,1,18870
2340000,20,Crystal Palace,Premier League,FRA,Forward,100,0,23400
2340000,23,Brentford,Premier League,CMR,Midfilder,169,0,13846
2340000,19,Liverpool,Premier League,ENG,Midfilder,57,0,41052
2340000,20,Bournemouth,Premier League,UKR,Defender,50,22,46800
